price,price_m2,area_m2,address,url
,,Plotas,,
105 600 €,4 115                                    €/m²,25.7,Viršuliškės Viršuliškių skg.,https://www.aruodas.lt/butai-vilniuje-virsuliskese-virsuliskiu-skg-pavadinime-uzkoduota-tai-kur-gyvensite-1-3598372/?search_pos=73
216 256 €,3 968                                    €/m²,54.5,Naujininkai Kaminkelio g.,https://www.aruodas.lt/butai-vilniuje-naujininkuose-kaminkelio-g-kaina-eur-nuolaida-eur-kaina-1-3604284/?search_pos=74
309 000 €,6 013                                    €/m²,51.4,Naujamiestis Aludarių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-aludariu-g-dvieju-kambariu-butas-su-erdviu-balkonu-ir-1-3598592/?search_pos=75
,,Plotas,,
149 000 €,2 742                                    €/m²,54.3,Šnipiškės Kalvarijų g.,https://www.aruodas.lt/butai-vilniuje-snipiskese-kalvariju-g-ieskote-patogaus-ir-erdvaus-dvieju-kambariu-1-3602106/?search_pos=76
219 000 €,4 392                                    €/m²,49.9,Naujamiestis Aludarių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-aludariu-g-tvarkingas-kambariu-kvm-butas-su-1-3607906/?search_pos=77
219 500 €,2 677                                    €/m²,82,Viršuliškės Rygos g.,https://www.aruodas.lt/butai-vilniuje-virsuliskese-rygos-g-parduodamas-kambariu-butas-virsuliskese-1-3600446/?search_pos=78
67 800 €,2 897                                    €/m²,23.4,Naujamiestis V. Pietario g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-v-pietario-g-sarvo-tipo-durys-elektros-instaliacija-1-3599146/?search_pos=79
243 000 €,3 667                                    €/m²,66.3,Visoriai Visorių g.,https://www.aruodas.lt/butai-vilniuje-visoriuose-visoriu-g-parduodamas-erdvus-sviesus-naujai-irengtas-1-3564577/?search_pos=80
235 900 €,3 629                                    €/m²,65,Pilaitė Pilkalnio g.,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pilkalnio-g-parduodamas-irengtas-k-butas-su-tamsiu-1-3605520/?search_pos=81
159 900 €,3 683                                    €/m²,43.4,Pilaitė Pakarvių g.,https://www.aruodas.lt/butai-vilniuje-pilaiteje-pakarviu-g-parduodamas-sviesus-kambariu-butas-1-3606856/?search_pos=82
334 900 €,5 611                                    €/m²,59.7,Naujamiestis Aludarių g.,https://www.aruodas.lt/butai-vilniuje-naujamiestyje-aludariu-g-erdvus-triju-kambariu-butas-aludariu-g-1-3604088/?search_pos=83
285 000 €,4 288                                    €/m²,66.5,Užupis Paupio g.,https://www.aruodas.lt/butai-vilniuje-uzupyje-paupio-g-parduodamas-kambariu-butas-per-aukstus-1-3606550/?search_pos=84
39 000 €,2 438                                    €/m²,16,Lazdynai Šiltnamių g.,https://www.aruodas.lt/butai-vilniuje-lazdynuose-siltnamiu-g-parduodamas-nedidelis-bet-jaukusi-ir-1-3587879/?search_pos=85
